Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
patate-douce-bio-1kg-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Patate-douce-bio-tonton-leon-fond-saint-denis-panier-livraison-domicile-martinique-bio-agriculture-local_6f658013-ba59-4e83-b68d-146183794e68.jpg?v=1633201047,4,,,,,,,,,,,,,,,,,,,,,,
patate-douce-bio-1kg-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_74d5e1d6-d86e-4a55-816e-208cc6bbc667.jpg?v=1633201047,5,,,,,,,,,,,,,,,,,,,,,,
citronnelle-sechee-500g,Citronnelle séchée 500g,"L' atoumo est originaire d'asie. Sa consommation quotidienne favorise la digestion, l'équilibre de la tension et améliore l'état grippal.
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/herboristerie-creole"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"" rel=""noopener noreferrer"">Voir la liste de nos producteurs</a></p>
</div>",Herboristerie créole,,Epicerie,"atoumo, Bio, Catégorie_Plantes, gros Morne, herboristerie créole, infusion, Plante, Producteurs_Herboristerie Creole, Rémi asensio",false,Boîte,Vrac,,,,,,0.0,shopify,99,deny,manual,37.50,,false,false,,,,,false,,,,,,,,,,,,,,,,,kg,,25.00,active
atoumo-seche-fleur-250g,Atoumo séché (fleur) 250g,"L' atoumo est originaire d'asie. Sa consommation quotidienne favorise la digestion, l'équilibre de la tension et améliore l'état grippal.
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/herboristerie-creole"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"" rel=""noopener noreferrer"">Voir la liste de nos producteurs</a></p>
</div>",Herboristerie créole,,Epicerie,"atoumo, Bio, Catégorie_Plantes, gros Morne, herboristerie créole, infusion, Plante, Producteurs_Herboristerie Creole, Rémi asensio",false,Boîte,Vrac,,,,,"",0.0,shopify,99,deny,manual,37.50,,false,false,"",,,,false,,,,,,,,,,,,,,,,,kg,,25.00,active
atoumo-seche-feuille-250g,Atoumo séché (feuille) 250g,"L' atoumo est originaire d'asie. Sa consommation quotidienne favorise la digestion, l'équilibre de la tension et améliore l'état grippal.
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/herboristerie-creole"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"" rel=""noopener noreferrer"">Voir la liste de nos producteurs</a></p>
</div>",Herboristerie créole,,Epicerie,"atoumo, Bio, Catégorie_Plantes, gros Morne, herboristerie créole, infusion, Plante, Producteurs_Herboristerie Creole, Rémi asensio",false,Boîte,Vrac,,,,,"",0.0,shopify,99,deny,manual,33.75,,false,false,"",,,,false,,,,,,,,,,,,,,,,,kg,,22.50,active
menthe-hollywood-a-mojito-bio-50-g,Menthe Hollywood bio 50g,"",Le Potager des Mornes,,Plante,"Bio, Catégorie_Légumes, Légume",true,Poids,1 botte,,,,,"",0.0,shopify,6,deny,manual,2.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/ca9a9a46-dfd3-45df-bf63-6574814a92cb.jpg?v=1632498491,1,,false,,,,,,,,,,,,,,,,,kg,,1.75,active
plant-de-zorey-mouton-bio-1l,[NOUVEAUTE] Plant de Zorey Mouton bio 1L,"",Kalinabio,,Plante,Bio,false,Poids,1 pot de 1L,,,,,,0.0,shopify,9,deny,manual,6.90,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/IMG_2336.jpg?v=1632497977,1,,false,,,,,,,,,,,,,,,,,kg,,4.50,active
plant-de-zorey-mouton-bio-1l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/IMG_2337.jpg?v=1632497977,2,,,,,,,,,,,,,,,,,,,,,,
plant-de-persil-japonais-bio-1l,[NOUVEAUTE] Plant de Persil Japonais bio 1L,"",Kalinabio,,Frais,Bio,false,Poids,1 pot de 1L,,,,,"",0.0,shopify,10,deny,manual,6.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/IMG_2335.jpg?v=1632497799,1,,false,,,,,,,,,,,,,,,,,kg,,4.50,active
plant-de-persil-japonais-bio-1l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/IMG_2332.jpg?v=1632497799,2,,,,,,,,,,,,,,,,,,,,,,
fruit-a-pain-bio-1-piece-3,Fruit à pain bio 1 pièce,"<meta charset=""utf-8"">
<div>
<meta charset=""utf-8"">
<span>Le </span>fruit à pain<b>, </b><span>originaire d'Océanie et largement répandu sous les tropiques, se consomme cuit et se prépare comme les pommes de terres. Il offre cependant une saveur plus fine et plus délicate, permettant aussi d'en faire de délicieuses confitures.</span>
</div>
<div>C'est un fruit énergétique riche en amidon, en vitamine C, ainsi qu'en fibres qui facilitent la digestion. Il renferme également de puissants antioxydants.</div>",Domaine de Puyferrat,,Frais,"Bio, Légume",false,Poids,1 pièce,,,,,"",0.0,shopify,1,deny,manual,4.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/240_F_273257513_v8VCuJDG4XqueBksiGDUPivCq4DU4Odq_86bf18a0-5b9e-4430-a1ba-dbc27e811705.jpg?v=1632146098,1,,false,,,,,,,,,,,,,,,,,kg,,3.00,active
fruit-a-pain-bio-1-piece-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/unnamed_2a02f2b2-f99f-4e67-a630-11022445e36d.jpg?v=1632146098,2,,,,,,,,,,,,,,,,,,,,,,
fruit-a-pain-bio-1-piece-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/fap1_d3f8b472-9bf2-4822-ab1d-28a62707a8c9.jpg?v=1632146091,3,,,,,,,,,,,,,,,,,,,,,,
fruit-a-pain-bio-1-piece-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/fap2_9bacc921-4442-4228-b0fe-054afcc47742.jpg?v=1632146091,4,,,,,,,,,,,,,,,,,,,,,,
banane-jaune-ou-plantain-demi-verte-1kg,Banane jaune (ou plantain) demi-verte 1kg,"",Alexandre Terne,,fruit,"Bio, Catégorie_Fruits, Fruit",false,Poids,1kg,,,,,"",0.0,shopify,8,deny,manual,4.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/plantain_10c11c35-46bf-489c-a63e-b8dd7e1e8bfd.jpg?v=1631800824,1,,false,,,,,,,,,,,,,,,,,kg,,3.50,active
banane-jaune-ou-plantain-demi-verte-1kg,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/produit-banane-plantain_f8df9bc5-3a15-4606-bf6a-b3a57ab4d72a.jpg?v=1631800824,2,,,,,,,,,,,,,,,,,,,,,,
gombo-bio-500g,Gombo bio 500g,"",Domaine de la Chabet,,Frais,"Bio, Catégorie_Légumes, Légume",true,Poids,500g,,,,,"",0.0,shopify,0,deny,manual,3.80,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_6e0ed13a-3c12-4f0f-8521-1798d190ec3c.jpg?v=1631540626,1,,false,,,,,,,,,,,,,,,,,kg,,2.50,active
gombo-bio-500g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/gombos_24d57435-8d89-4381-8798-411428ee950c.jpg?v=1631540626,2,,,,,,,,,,,,,,,,,,,,,,
plant-dherbe-a-pik-bio-1l,Plant d'Herbe à Pik bio 1L,"L'herbe à pik vient d'Amérique centrale, les Mayas l'utilisaient pour se soigner de l'état grippal. En Martinique nous pouvons contempler ses fleurs de janvier à mai dans les forêts humides de basse altitude. C'est un réel atout pour renforcer son organisme et son système immunitaire, en tisane pour profiter de toutes ses vertus.",Félix pognon,,Plante,"Bio, Catégorie_Plantes, feuille, herbe à pic, Plante",true,Poids,1 pot de 1L,,,,,"",0.0,shopify,96,deny,manual,16.00,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Herbe-a-pik-pic-bio-Martinique-Thierry-jean-agroecologie-livraison-panier-bio-martinique_5e6da71f-1686-41b8-952a-7370bcf73562.jpg?v=1631326037,1,,false,,,,,,,,,,,,,,,,,kg,,10.00,active
plant-dherbe-a-pik-bio-1l,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-herbe-a-pik-pic-bio-Martinique-Thierry-jean-agroecologie-livraison-panier-bio-martinique_ec6b95cd-8f99-461b-b750-f91259e0c4ad.jpg?v=1631326037,2,Feuille d'Herbe à pik bio 100g Background,,,,,,,,,,,,,,,,,,,,,
carambole-bio-500g-3,Carambole bio 500g,"",Thierry Jean,,Frais,"",true,Poids,500g,,,,,"",0.0,shopify,0,deny,manual,1.50,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/carambole_55911d70-a4bf-46cb-abbe-2db419e77e67.jpg?v=1631199232,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
carambole-bio-500g-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/i42016-la-carambole-pour-faire-le-plein-de-vitamines_1_4ca6492f-ccb5-4da1-ac20-b9a50ae79b5f.jpg?v=1631199232,2,,,,,,,,,,,,,,,,,,,,,,
piment-cerise-bio-100g-semi-fort,Piment cerise bio 100g (semi-fort),"",Le Potager des Mornes,,Frais,"",true,Poids,100g,,,,,"",0.0,shopify,0,deny,manual,1.60,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/WhatsAppImage2021-09-06at14.00.52.jpg?v=1630953672,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
piment-vegetarien-bio-200g-1,Piment végétarien bio 200g,"",Le Potager des Mornes,,Plante,"Bio, Catégorie_Légumes, Légume",true,Poids,200g,,,,,"",0.0,shopify,0,deny,manual,3.00,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/1a9c2419-b372-448b-90cd-b9390b0d7d86_1_fce74af2-0efe-4c1a-879d-0fed409f661a.jpg?v=1630675193,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
mango-bassignacs-bio-1kg,Mango bassignac bio 1kg,"",Ferme du Lycée Agricole de Croix-Rivail,,fruit,"Bio, Fruit",false,Poids,1kg,,,,,,0.0,shopify,974,deny,manual,3.00,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/telechargement_ca906cf8-9953-4395-8f53-50df8839708e.jpg?v=1630674650,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
carotte-coktail-vrac-1kg,Carotte coktail vrac 500g,"Ce puissant allié santé se cuisine aussi bien cru que cuit.
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/tonton-leon"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"" rel=""noopener noreferrer"">Voir la présentation de cette ferme</a></p>
</div>",Alexandre Terne,,légume,"Alexandre Terne, Bio, carotte, Catégorie_Légumes, Fond st Denis",false,Poids,500g,,,,,"",0.0,shopify,1,deny,manual,2.70,,false,false,"",,,,false,,,,,,,,,,,,,,,,,kg,,1.75,active
oeufs-bio-taille-l-x-6,Oeufs bio x 6,"",Ferme du morne Capot,,légume,"aubergine, Bio, Catégorie_Légumes, lorrain, Légume, Producteurs_Ferme du Morne Capot",false,Poids,6 oeufs,,,,,"",0.0,shopify,827,deny,manual,4.70,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/OeufsMorneCapot.jpg?v=1643250888,1,,false,,,,,,,,,,,,,,,,,kg,,3.00,active
oeufs-bio-taille-l-x-6,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/2501828-2_s.jpg?v=1643250888,2,,,,,,,,,,,,,,,,,,,,,,
promo-preparation-kassav-bio-4kg,[PROMO] Préparation Kassav bio 4kg,"<p>Cette préparation est élaborée par Raymond, qui nous livre sa recette de kassav et pizz'manioc, afin de restaurer les plus gourmands en 5 minutes. Ces galettes moelleuses se dégustent aussi bien nature qu'avec de la confiture, de la morue etc.</p>
<p>Recette de la pizz'manioc : https://youtu.be/1xQ8TkTeU_4</p>
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles, vous serez informé de leur indisponibilité et vous pourrez les remplacer par les produits de votre choix.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/jadin-kalbanat-prod"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"">Voir la présentation de cette ferme</a></p>
</div>",Maison du manioc - JadKaPro,,préparation,"Bio, Catégorie_Légumes, farine, François, jardin kalbanat, kassav, Légume, manioc, Raymond rijo",false,Poids,4kg,,,,,"",0.0,shopify,100,deny,manual,69.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Farine-kassav-pizz-manyok-500-grammes-maison-du-manioc-Jadkaprod-Jadin-Kalbanat-Production-Raymond-RIJO--producteurs-locaux-livraison-panier-sur-mesure-fruits-legumes-plantes-medicina_66d9ff14-900c-4286-881e-c55d4ae29d1b.jpg?v=1630343809,1,,false,,,,,,,,,,,,,,,,,kg,,48.00,active
promo-preparation-kassav-bio-4kg,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-Farine-manyok-maison-du-manioc-Jadkaprod-Jadin-Kalbanat-Production-Raymond-RIJO--producteurs-locaux-livraison-panier-sur-mesure-fruits-legumes-plantes-medicinales_ecf77fe6-0f2a-4f9c-b451-9e12e10a449c.jpg?v=1630343809,2,Préparation Kassav bio 500g Background,,,,,,,,,,,,,,,,,,,,,
promo-preparation-kassav-bio-1kg,[PROMO] Préparation Kassav bio 1kg,"<p>Cette préparation est élaborée par Raymond, qui nous livre sa recette de kassav et pizz'manioc, afin de restaurer les plus gourmands en 5 minutes. Ces galettes moelleuses se dégustent aussi bien nature qu'avec de la confiture, de la morue etc.</p>
<p>Recette de la pizz'manioc : https://youtu.be/1xQ8TkTeU_4</p>
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles, vous serez informé de leur indisponibilité et vous pourrez les remplacer par les produits de votre choix.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/jadin-kalbanat-prod"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"">Voir la présentation de cette ferme</a></p>
</div>",Maison du manioc - JadKaPro,,préparation,"Bio, Catégorie_Légumes, farine, François, jardin kalbanat, kassav, Légume, manioc, Raymond rijo",false,Poids,1kg,,,,,"",0.0,shopify,96,deny,manual,19.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Farine-kassav-pizz-manyok-500-grammes-maison-du-manioc-Jadkaprod-Jadin-Kalbanat-Production-Raymond-RIJO--producteurs-locaux-livraison-panier-sur-mesure-fruits-legumes-plantes-medicina_3d7896c2-ab65-4883-8e4f-18cdb4365a3c.jpg?v=1630343730,1,,false,,,,,,,,,,,,,,,,,kg,,14.00,active
promo-preparation-kassav-bio-1kg,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-Farine-manyok-maison-du-manioc-Jadkaprod-Jadin-Kalbanat-Production-Raymond-RIJO--producteurs-locaux-livraison-panier-sur-mesure-fruits-legumes-plantes-medicinales_7d493fd4-fc87-42fd-ac9d-b61c18a3aeb0.jpg?v=1630343730,2,Préparation Kassav bio 500g Background,,,,,,,,,,,,,,,,,,,,,
ti-nain-bio-1kg-1,Ti nain bio 1kg,"Après avoir été cuit dans l'eau ce légume pays, appelé ti-nain, peut aussi se consommer en beignets et bien d'autres déclinaisons. Elle est très efficace pour les lendemains de soirées.
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/ferme-morne-capot"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"" rel=""noopener noreferrer"">Voir la présentation de cette ferme</a></p>
</div>",Carib'fruits,,Frais,"",false,Poids,1kg,,,,,"",0.0,shopify,16,deny,manual,1.40,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/IMG_1183_31309730-318b-4e04-812b-995c585de502.jpg?v=1630241851,1,,false,,,,,,,,,,,,,,,,,kg,,0.78,active
ti-nain-bio-1kg-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-Banane-dessert-bio-ferme-morne-capot-lorrain-michel-larougery-Martinique-Ecologie-agroecologie-agriculture-bio_b4172527-4911-46af-aba6-6239de745bfb.jpg?v=1630241851,2,Banane verte bio 500g Background,,,,,,,,,,,,,,,,,,,,,
papaye-verte-1kg-1,Papaye verte 1kg,"",Ferme du Lycée Agricole de Croix-Rivail,,fruit,"Bio, Fruit",true,Poids,1kg,,,,,"",0.0,shopify,0,deny,manual,3.10,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_64cf9158-3ceb-4c4a-85d9-7d7909108aa4.jpg?v=1630021341,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
mangos-bio-1kg,Mango zéphirine bio 500g,"",Ferme du Lycée Agricole de Croix-Rivail,,Frais,"Bio, Fruit",true,Poids,500g,,,,,"",0.0,shopify,0,deny,manual,1.60,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/telechargement_1_7f895243-e4ac-46ba-bd98-01b278347924.jpg?v=1630674602,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
orange-amere-bio-500g,Orange amère bio 500g,"<p> Cette orange est l'ancêtre de l'orange douce, elle est reconnaissable par sa peau plus rugueuse. Il en existe de nombreuses variétés et celle que l'on trouve en Martinique a la particularité de garder une  peau verte quand elle est mûre dû au peu d'amplitude de température. On l'utilise surtout pour l'assaisonnement de viandes et de poissons.</p>",Domaine de Puyferrat,,fruit,"Bio, Catégorie_Fruits, Fruit, orange",true,Poids,500g,,,,,"",0.0,shopify,0,deny,manual,2.30,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_78e777b9-c1d2-4493-8272-f5bae58b8d3b.jpg?v=1629677673,1,,false,,,,,,,,,,,,,,,,,kg,,1.50,active
orange-amere-bio-500g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/citrus-aurantium-181207_083141f3-c6c7-42c1-801a-21ba4316570c.jpg?v=1629677673,2,,,,,,,,,,,,,,,,,,,,,,
copie-de-avocat-bio,Avocat péyi bio 1 pièce,"<p> </p>
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/felix-pognon"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"" rel=""noopener noreferrer"">Voir la présentation de cette ferme</a></p>
</div>",Domaine de Puyferrat,,Frais,"avocat, Bio, Catégorie_Légumes, Légume",true,Pièce,1 pièce,,,,,"",0.0,shopify,0,deny,manual,3.00,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/1363380936803970196_0a944fe6-f418-40b9-b576-95176c5da227.jpg?v=1629677218,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
copie-de-avocat-bio,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Avocat-bio-felix-pognon-panier-livraison-domicile-martinique-bio-agriculture-local-sans-chlordecone_779e25dd-1cb7-493a-bf41-79d07ca382ac.jpg?v=1629677218,2,,,,,,,,,,,,,,,,,,,,,,
copie-de-avocat-bio,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-1-Avocat-bio-felix-pognon-panier-livraison-domicile-martinique-bio-agriculture-local-sans-chlordecone_9eec192e-f601-4eb8-940b-bea6c1274e4e.jpg?v=1629677218,3,Avocat bio à l'unité Background,,,,,,,,,,,,,,,,,,,,,
gros-panier-bio,Gwo panyé bio,"<p> Faites frétiller vos papilles, avec notre grand panier bio de la semaine !</p>
<p data-mce-fragment=""1"">Il est le reflet de la saison, mais aussi de conditions naturelles parfois exceptionnelles. Ponctuellement, la disponibilité de certains produits annoncés peut donc varier ; ils seront remplacés par un produit similaire.</p>
<p data-mce-fragment=""1"">Gwo panier bio de la semaine du 7 mars :</p>
<ul>
<li>Banane dessert 1kg</li>
<li>Mango zéphirine 500g</li>
<li>Aubergine 500g</li>
<li>Chou pommé 1kg</li>
<li>Patate douce 500g</li>
<li>Laitue feuille de chêne 1 tête</li>
<li>Igname Sassa 1kg</li>
<li>Giraumon 1kg</li>
<li>Piment végétarien 200g</li>
<li>Orange sûre 500g</li>
<li>Ti nain 1kg</li>
<li>Radis 250g</li>
<li>1 boite de 6 oeufs</li>
<li>Papaye verte 1kg</li>
<li>Oignon péyi 200g</li>
<li>Mango moussache 1kg</li>
</ul>
<div class=""box-producteurs""></div>
<style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Ta Nou,,paniers,"abonnement, Nos paniers",true,Panier,1 panier (10~15 références),,,,,"",0.0,shopify,102,continue,manual,50.00,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/GwoPaniebio-50euros.jpg?v=1643981523,1,,false,,,,,,,,,,,,,,,,,kg,,33.50,active
gros-panier-bio,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/50rectangle.jpg?v=1643981523,2,,,,,,,,,,,,,,,,,,,,,,
1-plant-de-citronnelle-bio,Plant de citronnelle bio,"",Ferme du Prêcheur,,plants,"",false,Poids,1 plant,,,,,"",0.0,shopify,3,deny,manual,2.30,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_5fdbe8e2-e68f-4c4f-9878-ed6a742e10d8.jpg?v=1629470235,1,,false,,,,,,,,,,,,,,,,,kg,,1.50,active
petit-panier-bio,Ti panyé bio,"<p> Faites frétiller vos papilles, avec notre Ti panyé bio de la semaine !</p>
<p>Il est le reflet de la saison, mais aussi de conditions naturelles parfois exceptionnelles. Ponctuellement, la disponibilité de certains produits annoncés peut donc varier ; ils seront remplacés par un produit similaire.</p>
<p>Ti panier bio de la semaine du 7 mars :</p>
<ul>
<li>Banane dessert 1kg</li>
<li>Mango zéphirine 500g</li>
<li>Aubergine 500g</li>
<li>Chou pommé 1kg</li>
<li>Patate douce 500g</li>
<li>Laitue feuille de chêne 1 tête</li>
</ul>
<style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<div class=""box-producteurs""></div>
<style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Ta Nou,,paniers,"abonnement, Nos paniers",true,Panier,1 panier (4~7 références),,,,,"",0.0,shopify,75,continue,manual,15.00,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/TiPaniebio-15euros.jpg?v=1643981526,1,,false,ti panyé bio,,,,,,,,,,,,,,,,kg,,10.00,active
petit-panier-bio,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/15rectangle.jpg?v=1643981526,2,,,,,,,,,,,,,,,,,,,,,,
